Name,Headline,Location
Bill Gates,"Co-chair, Bill & Melinda Gates Foundation","Seattle, WA"
Bill Gates,Executive Hiring & Corporate Recruiting Solutions,United States
,,
William Gates,Senior Software Architect,United States
BIll Gates Tendulkar,Technical Learning Experience Designer @ Website Learners,Chennai
ITI Bill Gates,Direttore d'istituto presso ITI Bill Gates,Cosenza
Bill gates,--own tha bissnes platform,Gurugram
Bill Gates,Business Development Mgr - Imaging Solutions,"Cumming, GA"
Bill Gates,"Senior IT Recruiter ready for my next challenge. Skilled in ERP, Web, Client-Server and Intel Recruiting.","Myrtle Beach, SC"
Bill Gates,Software Developer | Army Veteran,"Johnstown, NY"
